schema,authority,reviewer_judgement,reason,correction
records/asset.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/event.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/person.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/face_observation.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/group.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/group_membership.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/relationship.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/relationship_history.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/tag.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/album.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/review_item.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/ai_task.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/root_registry.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/model_registry.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/operation_journal.schema.json,TEMPORARY_TRANSACTION_AUTHORITY,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/file_operation_plan.schema.json,TEMPORARY_TRANSACTION_AUTHORITY,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
records/backup_manifest.schema.json,AUTHORITATIVE_FILE_RECORD,CONFIRMED_EXPANDED,"Required header, revision, provenance, privacy, authority, migration/unknown-field policy, and concrete domain fields reviewed; nested open-object scan passes.",Replaced the prior generated identity shell with an explicit closed record schema.
