Path,Bytes,SHA256
11-implementation-ready-plan/00-READ-ME-FIRST.md,2252,905019ac6788623dab0f33c796075494725b1f76a7eeeabae6729baccd4d29d4
11-implementation-ready-plan/01-PLANNING-GAP-AUDIT.md,3521,08a8df59fd8096b2ff386adb1202086863a290ba06e9e37d6dadfa011739ef26
11-implementation-ready-plan/02-DECISION-REGISTER.md,3502,d1e866c33edfa30c287974091afa6814b5c85cb5455697ded044d15d2bcb566f
11-implementation-ready-plan/03-RELEASE-SCOPE.md,2470,821b4fff73dd8eb93a45044af355ffcf1d9be027dd8895237f009c48b5895de3
11-implementation-ready-plan/04-WORK-BREAKDOWN-STRUCTURE.md,5790,0347ba388a5186db4cd673fd19e93309aa4cba7fa0d6bd4fd93fdb597e4e2cdd
11-implementation-ready-plan/05-TARGET-DATA-MODEL.md,2619,73fbfd10b3affb24aff38d0aacf02ccb1077954c858cbaf3a9f57e2e50bd6526
11-implementation-ready-plan/06-SQLITE-INDEX-SPEC.md,3188,6ed173f06a0f1f96b5a5a242eb56164f5abf62b79b6d311e46a0b3f148f46a92
11-implementation-ready-plan/07-TAURI-IPC-CONTRACT.md,3138,da8643cd598506bb88ca8b6b65d8b37fa9512d845cd418a4a8e3306bde40e1e8
11-implementation-ready-plan/08-FILESYSTEM-TRANSACTION-SPEC.md,2364,eae7b0da2e8cf1203e6ceee7337c26fa21e40b4a995ef0b664ffa634ebac7f69
11-implementation-ready-plan/09-SECURITY-PRIVACY-THREAT-MODEL.md,2713,8e820d97a6fa0e8f6dbc02efbe6029eccb06e7920520aed5e14724f60f93d1eb
11-implementation-ready-plan/10-UX-ROUTE-SCREEN-MATRIX.md,3046,17969edbe24c49c3b474c7bcf153fa9c14fe08e5f19a2e29cf306b633f5e6978
11-implementation-ready-plan/11-AI-WORKER-MODEL-PACKAGING.md,2734,ecd8dadd2283566abb09466ee62315fe854314683ad3726a44978c33faf18eb4
11-implementation-ready-plan/12-TEST-AND-FIXTURE-MATRIX.md,2503,d639a3b16f14e6d97ad95fc26334aaff1f3e9b1f4eb00641f9011599d122b376
11-implementation-ready-plan/13-PERFORMANCE-BUDGETS.md,1938,ddd690f5bede81ead20d3c8c60bbf388f12ac921a9aa930f573a700782264b67
11-implementation-ready-plan/14-CROSS-PLATFORM-PACKAGING-LICENSE.md,1891,8575cf8bdf209da6635a2479fe0d0b1d1183a629028c91320007cb02f398d8da
11-implementation-ready-plan/15-GIT-CI-CODE-QUALITY.md,1866,833922ad1e61bff33dee32e8dd56e6ee7b13b1293c061fe7f72b1973b5180917
11-implementation-ready-plan/16-UPSTREAM-IMMICH-FORK-STRATEGY.md,1425,e7b5ee4278a70c9a2bebb03e60edf6396230564188fa5ea127ec4f79555b2a97
