Package ID,Existing files expected to change,Existing directories involved,New planned files,Existing interfaces or symbols,Existing schemas,Existing tests,New tests,Platform-specific files,Migration files,Configuration files,Known obsolete files,Path status,Evidence,Reviewer role,Review revision,Review status
WP-I0-001,Codebase/mobile/openapi/lib/model/asset_edits_create_dto.dart;Codebase/mobile/openapi/lib/model/sync_asset_edit_delete_v1.dart;Codebase/server/src/dtos/editing.dto.ts;Codebase/server/src/schema/migrations/1768336671610-CreateAssetEditTable.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 2 member requirements; paths verified: 4.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-002,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-003,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-004,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-005,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-006,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-007,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-008,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-009,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-010,,,,,,,,,,,,NOT_APPLICABLE,Derived from Codebase references in 1 member requirements; paths verified: 0.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-011,Codebase/docs/docs/install/requirements.md;Codebase/mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MediaTrashDelegate.kt;Codebase/mobile/integration_test/module_login/login_input_validation_test.dart;Codebase/mobile/lib/presentation/widgets/asset_viewer/asset_details/technical_details.widget.dart;Codebase/mobile/lib/presentation/widgets/images/animated_image_stream_completer.dart;Codebase/mobile/lib/presentation/widgets/images/one_frame_multi_image_stream_completer.dart;Codebase/mobile/lib/presentation/widgets/map/map_utils.dart;Codebase/mobile/lib/services/download.service.dart;Codebase/mobile/lib/widgets/common/feature_check.dart;Codebase/mobile/lib/widgets/forms/pin_verification_form.dart;Codebase/mobile/lib/widgets/settings/asset_viewer_settings/image_viewer_tap_to_navigate_setting.dart;Codebase/mobile/openapi/lib/api/database_backups_admin_api.dart;Codebase/mobile/openapi/lib/model/asset_metadata_upsert_dto.dart;Codebase/mobile/openapi/lib/model/search_album_response_dto.dart;Codebase/mobile/packages/ui/lib/src/previews/password_input.dart;Codebase/mobile/packages/ui/test/formatted_text_test.dart;Codebase/mobile/test/medium/repositories/backup_repository_test.dart;Codebase/mobile/test/medium/repositories/settings_repository_test.dart;Codebase/mobile/test/medium/repositories/timeline_repository_test.dart;Codebase/mobile/test/presentation/widgets/images/cache_aware_listener_tracker_mixin_test.dart,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 20 member requirements; paths verified: 50.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I1-001,Codebase/docs/package.json;Codebase/mobile/android/app/src/main/kotlin/app/alextran/immich/images/LocalImagesImpl.kt;Codebase/mobile/lib/utils/licenses.dart;Codebase/mobile/packages/ui/lib/src/internal.dart;Codebase/package.json;Codebase/server/package.json;Codebase/server/src/decorators.ts;Codebase/server/src/dtos/license.dto.ts;Codebase/server/src/emails/license.email.tsx;Codebase/server/tsconfig.json;Codebase/web/package.json;Codebase/web/src/lib/managers/timeline-manager/internal/utils.svelte.ts;Codebase/web/src/lib/utils/license-utils.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 7 member requirements; paths verified: 13.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I1-002,Codebase/design/immich-screenshots.png;Codebase/mobile/lib/utils/licenses.dart;Codebase/server/src/dtos/license.dto.ts;Codebase/server/src/emails/license.email.tsx;Codebase/web/src/lib/utils/license-utils.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 2 member requirements; paths verified: 5.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I1-003,Codebase/docs/package.json;Codebase/mobile/lib/utils/licenses.dart;Codebase/package.json;Codebase/package.json);Codebase/server/package.json;Codebase/server/src/dtos/license.dto.ts;Codebase/server/src/emails/license.email.tsx;Codebase/web/package.json;Codebase/web/src/lib/utils/license-utils.ts,,,,,,,,,,,PARTIALLY_PRESENT,Derived from Codebase references in 2 member requirements; paths verified: 8.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I1-004,Codebase/mobile/lib/utils/licenses.dart;Codebase/server/src/dtos/license.dto.ts;Codebase/server/src/emails/license.email.tsx;Codebase/web/package.json;Codebase/web/src/lib/utils/license-utils.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 2 member requirements; paths verified: 5.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I1-005,Codebase/design/immich-logo.png;Codebase/design/immich-logo.svg;Codebase/design/immich-text-dark.png;Codebase/design/immich-text-light.png;Codebase/machine-learning/immich_ml/main.py;Codebase/machine-learning/immich_ml/models/__init__.py;Codebase/machine-learning/immich_ml/models/base.py;Codebase/machine-learning/immich_ml/models/cache.py;Codebase/machine-learning/immich_ml/models/constants.py;Codebase/mobile/lib/utils/licenses.dart;Codebase/server/src/controllers/asset.controller.ts;Codebase/server/src/dtos/license.dto.ts;Codebase/server/src/emails/license.email.tsx;Codebase/server/src/repositories/asset.repository.ts;Codebase/server/src/services/asset.service.ts;Codebase/web/src/lib/utils/license-utils.ts;Codebase/web/src/routes/(user)/albums/[albumId=id]/[[photos=photos]]/[[assetId=id]]/+page.svelte,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 15 member requirements; paths verified: 17.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I10-001,Codebase/mobile/lib/providers/infrastructure/user_metadata.provider.dart;Codebase/mobile/packages/ui/lib/src/previews/form.dart;Codebase/mobile/packages/ui/lib/src/previews/text_input.dart;Codebase/mobile/packages/ui/lib/src/previews/url_input.dart,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 1 member requirements; paths verified: 4.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I10-002,Codebase/machine-learning/immich_ml/models/__init__.py;Codebase/machine-learning/immich_ml/models/base.py;Codebase/machine-learning/immich_ml/models/cache.py;Codebase/mobile/lib/models/server_info/server_version.model.dart;Codebase/mobile/lib/models/sessions/session_create_response.model.dart;Codebase/mobile/openapi/lib/model/server_version_history_response_dto.dart;Codebase/server/src/maintenance/maintenance-worker.service.ts;Codebase/server/src/repositories/machine-learning.repository.ts;Codebase/web/src/lib/managers/timeline-manager/internal/websocket-support.svelte.ts;Codebase/web/src/service-worker/index.ts;Codebase/web/src/service-worker/request.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 4 member requirements; paths verified: 11.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I10-003,Codebase/machine-learning/immich_ml/models/__init__.py;Codebase/machine-learning/immich_ml/models/base.py;Codebase/machine-learning/immich_ml/models/cache.py;Codebase/machine-learning/immich_ml/models/constants.py;Codebase/mobile/lib/services/search.service.dart;Codebase/mobile/openapi/lib/api/search_api.dart;Codebase/server/src/services/search.service.ts,,,,,,,,,,,EXISTING_VERIFIED,Derived from Codebase references in 2 member requirements; paths verified: 7.,PASS_B_CODEBASE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
